query_id,image,Question,Option_A,Option_B,Option_C,Option_D,answer,source_dataset,original_question_id,modality
OMNI_005023,Images/005023.tif,What is this part of the image primarily representing?,Staining artifact.,Background of histological image.,Microscopic structure.,Abnormal tissue growth.,Background of histological image.,CRC100k,CRC100k_0432,Microscopy
OMNI_005027,Images/005027.png,Is there any abnormality observed in the tail of the sperm image provided?,"Yes, the tail appears to be abnormal.","No, the tail is perfectly normal.",,,"Yes, the tail appears to be abnormal.",MHSMA,MHSMA_0978,Microscopy
OMNI_005028,Images/005028.jpeg,What cell types are visible in the image?,Macrophages,neutrophils,Erythrocytes,Hepatocytes,neutrophils,Blood Cell,Blood Cell_1052,Microscopy
OMNI_005029,Images/005029.tif,What do the cells in this image look like?,Cobblestone cells,Square cells,Oval cells,Crescent-shaped cells,Cobblestone cells,BioMediTech,BioMediTech_0425,Microscopy
OMNI_005031,Images/005031.tif,What substance is displayed in the image?,Mucus,Cerebrospinal fluid,Sweat,Lymph,Mucus,CRC100k,CRC100k_0746,Microscopy
OMNI_005032,Images/005032.tif,What is the tissue or abnormality featured in this image?,Normal stroma,Cancer-associated stroma,Scar tissue,Adipose tissue,Cancer-associated stroma,CRC100k,CRC100k_1103,Microscopy
OMNI_005033,Images/005033.png,Is the head of the sperm in the displayed image considered normal or abnormal?,The head is healthy.,The head appears abnormal.,The head is undamaged.,The head is enlarged.,The head appears abnormal.,MHSMA,MHSMA_0660,Microscopy
OMNI_005035,Images/005035.jpeg,What are the cell types seen in this image?,Eosinophils,B-cells,monocytes,Platelets,monocytes,Blood Cell,Blood Cell_0867,Microscopy
OMNI_005036,Images/005036.jpeg,What is the identification of the cells displayed in this image?,Osteocytes,lymphocytes,Macrophages,Neurons,lymphocytes,Blood Cell,Blood Cell_0656,Microscopy
OMNI_005037,Images/005037.tif,What modality is used to capture this image?,Hematoxylin & eosin (H&E) stained histological image,X-ray imaging,Magnetic resonance imaging (MRI),Ultrasound imaging,Hematoxylin & eosin (H&E) stained histological image,CRC100k,CRC100k_0083,Microscopy
OMNI_005038,Images/005038.jpeg,What cells are depicted in this image?,Dendritic cells,B lymphocytes,T lymphocytes,eosinophils,eosinophils,Blood Cell,Blood Cell_0408,Microscopy
OMNI_005039,Images/005039.png,What imaging modality was used to capture this image?,Mammogram,Electrocardiogram,X-ray,histopathology.,histopathology.,BreakHis,BreakHis_0027,Microscopy
OMNI_005043,Images/005043.tif,"What is the classification of the tissue lining observed in this photograph, pertaining to the colon?",Hepatic mucosa,Intestinal mucosa,Skin mucosa,Normal colonic mucosa,Normal colonic mucosa,CRC100k,CRC100k_0975,Microscopy
OMNI_005044,Images/005044.jpg,Is there any evidence of abnormalities in the vacuole depicted in the provided sperm image?,"No, the vacuole appears to be normal.","Yes, the vacuole is enlarged.","No, the vacuole is irregularly shaped.","No, the vacuole is absent.","No, the vacuole appears to be normal.",MHSMA,MHSMA_1104,Microscopy
OMNI_005045,Images/005045.tif,What is the tissue that is seen in this image?,Smooth muscle,Cardiac muscle,Blood tissue,Skeletal muscle,Smooth muscle,CRC100k,CRC100k_0943,Microscopy
OMNI_005048,Images/005048.jpg,Is the acrosome in the provided sperm image displaying any irregularities?,"Yes, the acrosome is misshapen and fragmented in the provided image.","No, the acrosome is enlarged and asymmetrical in the provided image.","No, the acrosome is discolored and shows signs of deterioration in the provided image.","No, the acrosome appears to be normal.","No, the acrosome appears to be normal.",MHSMA,MHSMA_0201,Microscopy
OMNI_005050,Images/005050.bmp,What is the probable medical condition indicated in this image?,Polycythemia vera,Acute lymphoblastic leukemia,Acute myeloid leukemia,Hodgkin's lymphoma,Acute lymphoblastic leukemia,ALL Challenge,ALL Challenge_0279,Microscopy
OMNI_005051,Images/005051.tif,What substance is depicted in the provided image?,Cerebrospinal fluid,Sweat,Mucus,Lymph,Mucus,CRC100k,CRC100k_0737,Microscopy
OMNI_005054,Images/005054.png,What does this image display?,Malignant colon histopathology.,Benign bone histopathology.,Malignant lung histopathology.,Benign breast histopathology.,Benign breast histopathology.,BreakHis,BreakHis_0051,Microscopy
OMNI_005056,Images/005056.tif,What type of substance is depicted in the provided image?,Blood,Mucus,Lymph,Gastric acid,Mucus,CRC100k,CRC100k_0681,Microscopy
OMNI_005061,Images/005061.tif,What imaging technique was utilized to obtain this picture?,Hematoxylin & eosin (H&E) stained histological image,X-ray imaging,Computed tomography (CT) scan,Fluoroscopy imaging,Hematoxylin & eosin (H&E) stained histological image,CRC100k,CRC100k_0074,Microscopy
OMNI_005064,Images/005064.png,What does this image depict?,Benign lung histopathology.,Inflammatory bowel disease histopathology.,Normal brain histopathology.,Malignant breast histopathology.,Malignant breast histopathology.,BreakHis,BreakHis_0486,Microscopy
OMNI_005065,Images/005065.jpeg,What method was utilized to obtain this image?,Endoscopy,Microscopy,Ultrasound,Electroencephalography (EEG),Microscopy,Blood Cell,Blood Cell_0166,Microscopy
OMNI_005066,Images/005066.tif,What is the morphology of the cells depicted in this photograph?,Epithelioid cells,Neoplastic cells,Fibroblast cells,Fusiform cells,Epithelioid cells,BioMediTech,BioMediTech_0292,Microscopy
OMNI_005069,Images/005069.tif,What is the specific type of tissue that can be identified in this image?,Adipose tissue,Connective tissue,Epithelial tissue,Lymphatic tissue,Adipose tissue,CRC100k,CRC100k_0261,Microscopy
OMNI_005070,Images/005070.png,Is the head of the sperm in the displayed image in a normal condition?,The head appears absent.,The head appears asymmetrical.,The head appears normal.,The head appears inflamed.,The head appears normal.,MHSMA,MHSMA_0504,Microscopy
OMNI_005071,Images/005071.tif,What kind of tissue is visible in this picture?,Skeletal muscle,Connective tissue,Smooth muscle,Glandular tissue,Smooth muscle,CRC100k,CRC100k_0909,Microscopy
OMNI_005072,Images/005072.tif,What is the viscous secretion depicted in this picture?,Synovial fluid,Vomit,Urine,Mucus,Mucus,CRC100k,CRC100k_0647,Microscopy
OMNI_005073,Images/005073.jpeg,What specific cells are observed in this image?,monocytes,Neutrophils,B-cells,Mast cells,monocytes,Blood Cell,Blood Cell_0771,Microscopy
OMNI_005074,Images/005074.png,Is there any abnormality in the tail of the sperm shown in the image?,"No, the tail is perfectly normal.","Yes, the tail appears to be abnormal.",,,"Yes, the tail appears to be abnormal.",MHSMA,MHSMA_0972,Microscopy
OMNI_005075,Images/005075.png,What does the image depict?,Benign breast histopathology.,Normal breast histopathology.,Malignant breast histopathology.,Breast abscess.,Malignant breast histopathology.,BreakHis,BreakHis_0656,Microscopy
OMNI_005076,Images/005076.tif,What kind of tissue is observed in the image?,Cardiac muscle,Glandular tissue,Smooth muscle,Lymphatic tissue,Smooth muscle,CRC100k,CRC100k_0813,Microscopy
OMNI_005077,Images/005077.png,Is the head of the sperm in the displayed image normal?,The head appears absent.,The head appears discolored.,The head appears normal.,The head appears multiplied.,The head appears normal.,MHSMA,MHSMA_0497,Microscopy
OMNI_005078,Images/005078.tif,What type of tissue or abnormality is visible in this image?,Basal cell carcinoma of the skin,Cardiac muscle tissue,Colorectal adenocarcinoma epithelium,Ovarian cyst lining,Colorectal adenocarcinoma epithelium,CRC100k,CRC100k_1173,Microscopy
OMNI_005079,Images/005079.png,What type of breast histopathology is depicted in this image?,Malignant breast histopathology.,Normal brain histopathology.,Inflammatory bowel disease histopathology.,Non-cancerous kidney histopathology.,Malignant breast histopathology.,BreakHis,BreakHis_0179,Microscopy
OMNI_005080,Images/005080.tif,What is the specific diagnosis for the cancer cells observed in the provided image?,Follicular Lymphoma,Prostate Cancer,Basal Cell Carcinoma,Ovarian Cancer,Follicular Lymphoma,MAlig Lymph,MAlig Lymph_0111,Microscopy
OMNI_005081,Images/005081.bmp,"Based on this image, what disease does the corresponding subject suffer from?",Hematologic Malignancies,Migraine headaches,Kidney stones,Osteoporosis,Hematologic Malignancies,ALL Challenge,ALL Challenge_0172,Microscopy
OMNI_005082,Images/005082.png,What is present in this image?,Malignant breast histopathology.,Normal brain histopathology.,Benign lung histopathology.,Metastatic liver histopathology.,Malignant breast histopathology.,BreakHis,BreakHis_0135,Microscopy
OMNI_005083,Images/005083.jpg,Is there any indication of abnormalities in the vacuole seen in the provided image of the sperm?,"Yes, the vacuole is discolored.","No, the vacuole is absent.","No, the vacuole appears to be normal.","No, the vacuole shows signs of inflammation.","No, the vacuole appears to be normal.",MHSMA,MHSMA_1044,Microscopy
OMNI_005084,Images/005084.tif,What is depicted in this image in terms of tissue or abnormality?,Nodal metastasis in lymphoma,Psoriasis lesion,Basal cell carcinoma of the skin,Colorectal adenocarcinoma epithelium,Colorectal adenocarcinoma epithelium,CRC100k,CRC100k_1291,Microscopy
OMNI_005087,Images/005087.tif,What is the name of the secretion illustrated in this photograph?,Mucus,Saliva,Synovial fluid,Gastric acid,Mucus,CRC100k,CRC100k_0755,Microscopy
OMNI_005088,Images/005088.png,Is there any evidence of abnormalities in the tail of the sperm image provided?,"No, the tail appears to be normal.","Yes, the tail appears to be abnormal.",,,"No, the tail appears to be normal.",MHSMA,MHSMA_0764,Microscopy
OMNI_005089,Images/005089.jpeg,What are the specific cells observed in the provided image?,Lymphocytes,monocytes,Basophils,B-cells,monocytes,Blood Cell,Blood Cell_0853,Microscopy
OMNI_005091,Images/005091.png,What does this image depict?,Normal brain histopathology.,Normal kidney histopathology.,Benign skin histopathology.,Benign breast histopathology.,Benign breast histopathology.,BreakHis,BreakHis_0245,Microscopy
OMNI_005095,Images/005095.tif,"What is shown in this image, in terms of tissue or abnormality?",Adipose tissue,Necrotic tissue,Benign tumor,Cancer-associated stroma,Cancer-associated stroma,CRC100k,CRC100k_1091,Microscopy
OMNI_005096,Images/005096.bmp,What medical condition is manifested in the subject depicted in this image?,Hematologic Malignancies,Dermatitis,Appendicitis,Pneumonia,Hematologic Malignancies,ALL Challenge,ALL Challenge_0094,Microscopy
OMNI_005097,Images/005097.tif,What does this image depict?,Inflammatory cells,Tumor cells,Healthy cells,Cancer cells,Cancer cells,MAlig Lymph,MAlig Lymph_0021,Microscopy
OMNI_005100,Images/005100.jpeg,What cellular entities are depicted in this image?,Red blood cells,T lymphocytes,Monocytes,eosinophils,eosinophils,Blood Cell,Blood Cell_0458,Microscopy
