query_id,image,Question,Option_A,Option_B,Option_C,Option_D,answer,source_dataset,original_question_id,modality
OMNI_006030,Images/006030.jpg,What are some distinctive characteristics of the abnormality seen in the image?,"Diabetic retinopathy: Diabetic retinopathy is a complication of diabetes that affects the blood vessels in the retina. It can cause vision loss, but it is not specific to the macula and is different from age-related macular degeneration.","Cataracts: Cataracts occur when the lens of the eye becomes cloudy, leading to blurry vision. While it can cause vision loss, it is not specific to the macula and is unrelated to age-related macular degeneration.","Age-related Macular Degeneration (AMD) causes progressive damage to the macula, leading to vision loss in the center of the visual field.","Retinal detachment: Retinal detachment occurs when the retina peels away from its underlying layer of support tissues. It can cause vision loss, but it is not related to age-related macular degeneration.","Age-related Macular Degeneration (AMD) causes progressive damage to the macula, leading to vision loss in the center of the visual field.",Retinal OCT-C8,Retinal OCT-C8_3465,OCT
OMNI_006031,Images/006031.jpg,What is the name of the condition seen in this image?,Glaucoma,Cataracts,Age-related Macular Degeneration (AMD),Astigmatism,Age-related Macular Degeneration (AMD),Retinal OCT-C8,Retinal OCT-C8_3245,OCT
OMNI_006033,Images/006033.jpeg,What is the name of the specific medical condition depicted in this image?,Cataracts,Diabetic Macular Edema (DME),Macular hole,Glaucoma,Diabetic Macular Edema (DME),OCT & X-Ray 2017,OCT & X-Ray 2017_0284,OCT
OMNI_006038,Images/006038.jpg,What are the distinguishing characteristics of the anomaly depicted in this image?,"The abnormality in the image is a retinal detachment, indicated by the separation of the retina from the underlying tissue.",The image displays swelling and fluid accumulation in the macula due to Diabetic Macular Edema (DME).,"The image reveals a corneal ulcer, indicated by the open sore on the cornea.","The abnormality in the image is a subconjunctival hemorrhage, characterized by the presence of blood under the conjunctiva.",The image displays swelling and fluid accumulation in the macula due to Diabetic Macular Edema (DME).,Retinal OCT-C8,Retinal OCT-C8_3962,OCT
OMNI_006039,Images/006039.jpg,What is the particular anomaly depicted in this image?,Conjunctivitis,Macular degeneration,Optic nerve atrophy,Central Serous Retinopathy (CSR),Central Serous Retinopathy (CSR),Retinal OCT-C8,Retinal OCT-C8_2260,OCT
OMNI_006041,Images/006041.jpg,Can you describe any notable attributes of the abnormality in this image?,"There is a small hole in the macula, which is the central part of the retina.",The macula appears enlarged and swollen.,The abnormality is characterized by a jagged edge around the macula.,The abnormality is a result of a detached retina.,"There is a small hole in the macula, which is the central part of the retina.",Retinal OCT-C8,Retinal OCT-C8_1835,OCT
OMNI_006042,Images/006042.jpg,What is the specific abnormality displayed in this picture?,Optic nerve atrophy,Glaucoma,Conjunctivitis,Choroidal Neovascularization (CNV),Choroidal Neovascularization (CNV),Retinal OCT-C8,Retinal OCT-C8_0559,OCT
OMNI_006043,Images/006043.jpg,What specific characteristics can you identify in the abnormality shown in this image?,The image displays swelling and fluid accumulation in the macula due to Diabetic Macular Edema (DME).,"The abnormality in the image is a retinal detachment, indicated by the separation of the retina from the underlying tissue.","The image reveals a corneal ulcer, indicated by the open sore on the cornea.","The abnormality in the image is a subconjunctival hemorrhage, characterized by the presence of blood under the conjunctiva.",The image displays swelling and fluid accumulation in the macula due to Diabetic Macular Edema (DME).,Retinal OCT-C8,Retinal OCT-C8_3951,OCT
OMNI_006044,Images/006044.jpg,What are the distinguishing characteristics of the anomaly seen in the image?,The image shows a complete absence of the macula.,There is a dark spot in the periphery of the retina.,The abnormality is characterized by a jagged edge around the macula.,"There is a small hole in the macula, which is the central part of the retina.","There is a small hole in the macula, which is the central part of the retina.",Retinal OCT-C8,Retinal OCT-C8_1799,OCT
OMNI_006045,Images/006045.jpg,What are some distinguishable characteristics of the anomaly visible in this image?,Macular holes are small purple rings that encircle the cornea.,Cysts are large white masses that form on top of the retina.,Hemorrhages are black spots that develop on the lens of the eye.,The image displays swelling and fluid accumulation in the macula due to Diabetic Macular Edema (DME).,The image displays swelling and fluid accumulation in the macula due to Diabetic Macular Edema (DME).,Retinal OCT-C8,Retinal OCT-C8_2853,OCT
OMNI_006047,Images/006047.jpg,Is there any deviation observed in this image?,The image does not provide enough information to determine if there is an abnormality.,No abnormality detected (normal),"The image shows a possible abnormality, but further testing is required for confirmation.",The image shows multiple abnormalities.,No abnormality detected (normal),Retinal OCT-C8,Retinal OCT-C8_2019,OCT
OMNI_006048,Images/006048.jpg,What are the observable characteristics of the anomaly in this image?,The abnormality in the image is due to optic nerve atrophy.,The abnormality in the image is a result of retinal detachment.,The image shows a normal blood vessel pattern within the retina.,The choroidal neovascularization appears as abnormal blood vessels growing beneath the retina.,The choroidal neovascularization appears as abnormal blood vessels growing beneath the retina.,Retinal OCT-C8,Retinal OCT-C8_0771,OCT
OMNI_006049,Images/006049.jpg,What is the indicated anomaly depicted in this picture?,Papilledema,Diabetic Macular Edema (DME),Vitreous hemorrhage,Macular degeneration,Diabetic Macular Edema (DME),Retinal OCT-C8,Retinal OCT-C8_2595,OCT
OMNI_006050,Images/006050.jpg,What is the identified medical condition displayed in this image?,Macular Hole (MH),Astigmatism,Retinal detachment,Conjunctivitis (pink eye),Macular Hole (MH),Retinal OCT-C8,Retinal OCT-C8_0909,OCT
OMNI_006052,Images/006052.jpeg,Is there any abnormality present in this oct image?,No.,Yes,,,No.,OCT & X-Ray 2017,OCT & X-Ray 2017_0483,OCT
OMNI_006055,Images/006055.jpeg,What is the identifiable irregularity depicted in this image?,Conjunctivitis,Choroidal Neovascularization (CNV),Optic nerve atrophy,Retinitis pigmentosa,Choroidal Neovascularization (CNV),OCT & X-Ray 2017,OCT & X-Ray 2017_0183,OCT
OMNI_006056,Images/006056.jpg,What is the specific anomaly depicted in this picture?,Corneal dystrophy,Optic nerve atrophy,Drusen,Cataracts,Drusen,Retinal OCT-C8,Retinal OCT-C8_2660,OCT
OMNI_006057,Images/006057.jpg,What is the name of the medical condition depicted in this picture?,Glaucoma,Strabismus,Age-related macular degeneration (AMD),Macular Hole (MH),Macular Hole (MH),Retinal OCT-C8,Retinal OCT-C8_0888,OCT
OMNI_006060,Images/006060.jpg,What is the name of the condition depicted in this image?,Diabetic retinopathy,Diabetic Retinopathy (DR),Retinitis pigmentosa,Cataracts,Diabetic Retinopathy (DR),Retinal OCT-C8,Retinal OCT-C8_2199,OCT
OMNI_006061,Images/006061.jpg,What can be observed as unique characteristics of the abnormality depicted in this image?,This is a normal oct image.,The abnormality in the image is due to optic nerve atrophy.,The image displays an example of normal retinal pigmentation.,The image shows a normal blood vessel pattern within the retina.,This is a normal oct image.,Retinal OCT-C8,Retinal OCT-C8_0632,OCT
OMNI_006062,Images/006062.jpg,What is the name of the specific condition indicated by the abnormality seen in this image?,Drusen,Color blindness,Macular edema,Conjunctivitis,Drusen,Retinal OCT-C8,Retinal OCT-C8_3082,OCT
OMNI_006064,Images/006064.jpg,What is the term for the specific abnormality depicted in this image?,Glaucoma,Corneal ulcer,Cataracts,Macular Hole (MH),Macular Hole (MH),Retinal OCT-C8,Retinal OCT-C8_0947,OCT
OMNI_006065,Images/006065.jpg,What are the observable characteristics of the irregularity shown in this image?,The image shows an enlarged optic nerve caused by glaucoma.,"The image reveals a corneal ulcer, indicated by the open sore on the cornea.",The image displays swelling and fluid accumulation in the macula due to Diabetic Macular Edema (DME).,"The abnormality in the image is a retinal detachment, indicated by the separation of the retina from the underlying tissue.",The image displays swelling and fluid accumulation in the macula due to Diabetic Macular Edema (DME).,Retinal OCT-C8,Retinal OCT-C8_3887,OCT
OMNI_006066,Images/006066.jpg,What is the specific abnormality shown in this image?,Optic nerve atrophy,Macular degeneration,Retinal detachment,Drusen,Drusen,Retinal OCT-C8,Retinal OCT-C8_2734,OCT
OMNI_006070,Images/006070.jpg,What is the term used to describe the abnormality observed in the image?,Vitreous hemorrhage,Diabetic Macular Edema (DME),Glaucoma,Corneal dystrophy,Diabetic Macular Edema (DME),Retinal OCT-C8,Retinal OCT-C8_2623,OCT
OMNI_006071,Images/006071.jpg,What is the specific abnormality shown in this image?,Cataracts,Age-related Macular Degeneration,Central Serous Retinopathy (CSR),Retinal detachment,Central Serous Retinopathy (CSR),Retinal OCT-C8,Retinal OCT-C8_3594,OCT
OMNI_006078,Images/006078.jpeg,What is the specific abnormality shown in this image?,Diabetic Macular Edema (DME),Color blindness,Corneal abrasion,Glaucoma,Diabetic Macular Edema (DME),OCT & X-Ray 2017,OCT & X-Ray 2017_0247,OCT
OMNI_006079,Images/006079.jpg,What are the notable characteristics observed in this image that indicate the presence of an abnormality?,"The abnormality in the image is a subconjunctival hemorrhage, characterized by the presence of blood under the conjunctiva.",The condition is characterized by the accumulation of fluid in the central retina.,"The image reveals a corneal ulcer, indicated by the open sore on the cornea.",The image shows an enlarged optic nerve caused by glaucoma.,The condition is characterized by the accumulation of fluid in the central retina.,Retinal OCT-C8,Retinal OCT-C8_3772,OCT
OMNI_006080,Images/006080.jpg,What is the specific anomaly evident in this image?,Macular Hole (MH),Retinal Detachment (RD),Optic Nerve Atrophy,Cataract,Macular Hole (MH),Retinal OCT-C8,Retinal OCT-C8_1521,OCT
OMNI_006082,Images/006082.jpg,What are the distinctive features observed in the abnormality depicted in the picture?,"The abnormality in the image is a retinal detachment, indicated by the separation of the retina from the underlying tissue.","The image reveals a corneal ulcer, indicated by the open sore on the cornea.",The condition is characterized by the accumulation of fluid in the central retina.,The image shows an enlarged optic nerve caused by glaucoma.,The condition is characterized by the accumulation of fluid in the central retina.,Retinal OCT-C8,Retinal OCT-C8_3877,OCT
OMNI_006085,Images/006085.jpg,What are some distinctive characteristics of the anomaly depicted in this image?,This is a normal oct image.,The abnormality in the image is a result of retinal detachment.,The abnormality in the image is due to optic nerve atrophy.,The choroidal neovascularization in the image is actually a normal aging process.,This is a normal oct image.,Retinal OCT-C8,Retinal OCT-C8_0711,OCT
OMNI_006088,Images/006088.jpeg,What is the name of the specific abnormality depicted in this oct image?,Diabetic retinopathy,Retinal detachment,Drusen,Macular degeneration,Drusen,OCT & X-Ray 2017,OCT & X-Ray 2017_0328,OCT
OMNI_006089,Images/006089.jpg,What is the particular pathology depicted in the provided picture?,Macular Hole (MH),Optic Nerve Atrophy,Glaucoma,Cataract,Macular Hole (MH),Retinal OCT-C8,Retinal OCT-C8_1545,OCT
OMNI_006091,Images/006091.jpeg,What is the specific abnormality shown in this oct image?,Astigmatism,Presbyopia,Drusen,Cataracts,Drusen,OCT & X-Ray 2017,OCT & X-Ray 2017_0425,OCT
OMNI_006093,Images/006093.jpeg,Identify the pathological condition depicted in the photograph.,Diabetic Retinopathy,Color blindness,Age-related Macular Degeneration,Diabetic Macular Edema (DME),Diabetic Macular Edema (DME),OCT & X-Ray 2017,OCT & X-Ray 2017_0249,OCT
OMNI_006094,Images/006094.jpg,What is the identified abnormality visible in this image?,Optic Nerve Atrophy,Macular Hole (MH),Retinal Detachment (RD),Cataract,Macular Hole (MH),Retinal OCT-C8,Retinal OCT-C8_1514,OCT
OMNI_006096,Images/006096.jpg,What is the specific abnormality shown in this image?,Optic Nerve Atrophy,Age-related Macular Degeneration (AMD),Retinal Detachment (RD),Glaucoma,Age-related Macular Degeneration (AMD),Retinal OCT-C8,Retinal OCT-C8_1361,OCT
OMNI_006097,Images/006097.jpg,What is the name of the condition indicated by the specific abnormality in this image?,Cataracts,Drusen,Conjunctivitis,Astigmatism,Drusen,Retinal OCT-C8,Retinal OCT-C8_3138,OCT
OMNI_006099,Images/006099.jpg,What is the name of the condition depicted in this image?,Corneal ulcer,Diabetic Retinopathy (DR),Macular degeneration,Conjunctivitis,Diabetic Retinopathy (DR),Retinal OCT-C8,Retinal OCT-C8_2195,OCT
OMNI_006100,Images/006100.jpg,Is there any abnormality identified in this image?,The image suggests a potential abnormality.,The image shows multiple abnormalities.,The image reveals a minor abnormality.,No abnormality detected (normal),No abnormality detected (normal),Retinal OCT-C8,Retinal OCT-C8_2069,OCT
