query_id,image,Question,Option_A,Option_B,Option_C,Option_D,answer,source_dataset,original_question_id,modality
OMNI_000027,Images/000027.png,What can be identified as being abnormal in the image?,Lung abnormality,Bladder abnormality,Bowel abnormality,Intestinal abnormality,Bowel abnormality,RadImageNet,RadImageNet_5714,CT
OMNI_000028,Images/000028.png,Do you notice any anomaly present in this image?,Yes.,No,,,No,RadImageNet,RadImageNet_9218,CT
OMNI_000031,Images/000031.png,Is there any obvious sign of irregularity in this image?,No,Yes.,,,No,RadImageNet,RadImageNet_10946,CT
OMNI_000032,Images/000032.png,What abnormal finding is depicted in the radiograph?,Pericardial effusion,Ascites,Appendicitis,Pneumothorax,Ascites,RadImageNet,RadImageNet_5336,CT
OMNI_000034,Images/000034.png,What is the presence that is not normal in the image?,Airspace opacity,Nodule formation,Atelectasis,Pleural effusion,Airspace opacity,RadImageNet,RadImageNet_2523,CT
OMNI_000035,Images/000035.png,What abnormal finding is identified in this radiographic image?,Nodule,Inflammation,Hematoma,Swelling,Nodule,RadImageNet,RadImageNet_4018,CT
OMNI_000039,Images/000039.png,What is the visibility of any abnormalities in this image?,Yes.,No,,,No,RadImageNet,RadImageNet_11003,CT
OMNI_000040,Images/000040.png,What type of abnormality is present in this image?,Spleen lesion,Heart lesion,Pancreatic lesion,Liver lesion,Liver lesion,RadImageNet,RadImageNet_8160,CT
OMNI_000041,Images/000041.png,What kind of anomaly is being observed in this picture?,Soft tissue inflammation,Respiratory infection,Osseous neoplasm,Muscular dystrophy,Osseous neoplasm,RadImageNet,RadImageNet_11780,CT
OMNI_000043,Images/000043.png,What is the abnormality present in the image?,Lymphatic pathology,Arterial pathology,Respiratory pathology,Endocrine pathology,Arterial pathology,RadImageNet,RadImageNet_5187,CT
OMNI_000044,Images/000044.png,What is the specific abnormality in this image?,Bronchiectasis,Interstitial lung disease,Pulmonary hypertension,Pulmonary embolism,Interstitial lung disease,RadImageNet,RadImageNet_7472,CT
OMNI_000045,Images/000045.png,What type of imaging technique is utilized to obtain this visual representation?,Nuclear medicine scan,Fluoroscopy,X-ray,CT,CT,RadImageNet,RadImageNet_1311,CT
OMNI_000046,Images/000046.png,Is this CT image indicative of a patient being infected by cancer?,No,Yes.,,,No,Chest CT Scan,Chest CT Scan_0568,CT
OMNI_000047,Images/000047.png,What is the specific condition depicted in this image?,Pulmonary embolism,Tuberculosis,Influenza,COVID-19 infection.,COVID-19 infection.,SARS-CoV-2 CT-scan,SARS-CoV-2 CT-scan_0336,CT
OMNI_000049,Images/000049.png,What abnormal finding is indicated in the picture?,Bowel inflammation,Liver cirrhosis,Stomach ulcer,Eye infection,Bowel inflammation,RadImageNet,RadImageNet_6241,CT
OMNI_000050,Images/000050.png,Is everything in this image within normal parameters?,No,Yes.,,,No,RadImageNet,RadImageNet_10673,CT
OMNI_000051,Images/000051.png,What is the abnormal finding in the image?,Scar formation,Organ enlargement,Cellular hyperplasia,Parenchyma destruction,Parenchyma destruction,RadImageNet,RadImageNet_4629,CT
OMNI_000054,Images/000054.png,What is the nature of the anomaly observed in this image?,Post-operative changes,Inflammation,Genetic mutation,Infection,Post-operative changes,RadImageNet,RadImageNet_12552,CT
OMNI_000055,Images/000055.png,What imaging technique was used to produce this scan?,MRI,CT,Positron emission tomography (PET),PET scan,CT,RadImageNet,RadImageNet_0909,CT
OMNI_000057,Images/000057.png,What imaging technique is used to produce this image?,CT,Ultrasound,Fluoroscopy,X-ray,CT,SARS-CoV-2 CT-scan,SARS-CoV-2 CT-scan_0008,CT
OMNI_000058,Images/000058.png,Which abnormality is visible in the image?,Bowel abnormality,Bone abnormality,Heart abnormality,Bladder abnormality,Bowel abnormality,RadImageNet,RadImageNet_6106,CT
OMNI_000059,Images/000059.png,Is there any aberration or deviation observed in this image?,No,Yes.,,,No,RadImageNet,RadImageNet_9300,CT
OMNI_000063,Images/000063.png,What is the abnormality present in the image?,Bowel inflammation,Heart arrhythmia,Liver cirrhosis,Eye infection,Bowel inflammation,RadImageNet,RadImageNet_6343,CT
OMNI_000066,Images/000066.png,What kind of irregularity is depicted in this picture?,Lung cancer,Pleural effusion,Interstitial lung disease,Pulmonary embolism,Interstitial lung disease,RadImageNet,RadImageNet_7436,CT
OMNI_000067,Images/000067.png,What is the particular pathology visible in this image?,Uterine pathology,Cervical disease,Thyroid disorder,Colon inflammation,Uterine pathology,RadImageNet,RadImageNet_13824,CT
OMNI_000068,Images/000068.png,What does the image depict in terms of abnormality?,Bowel abnormality,Stomach abnormality,Kidney abnormality,Liver abnormality,Bowel abnormality,RadImageNet,RadImageNet_6028,CT
OMNI_000069,Images/000069.png,What abnormal finding is observed in the radiographic image?,Growth,Nodule,Tumor,Hematoma,Nodule,RadImageNet,RadImageNet_4201,CT
OMNI_000070,Images/000070.png,What abnormal finding is identified in the radiographic image?,Congestion,Vascular dilation,Parenchyma destruction,Cellular hyperplasia,Parenchyma destruction,RadImageNet,RadImageNet_4713,CT
OMNI_000071,Images/000071.png,What is the abnormality present in the image?,Bone fracture,Kidney infection,Bowel inflammation,Gallbladder stones,Bowel inflammation,RadImageNet,RadImageNet_6459,CT
OMNI_000073,Images/000073.png,What abnormal finding is depicted in the radiograph?,Polyp,Hematoma,Nodule,Mass,Nodule,RadImageNet,RadImageNet_3828,CT
OMNI_000076,Images/000076.png,What is the word that describes the abnormality shown in the image?,Nodule,Hematoma,Cyst,Abscess,Nodule,RadImageNet,RadImageNet_3633,CT
OMNI_000077,Images/000077.png,What term describes the anomaly depicted in the image?,Pleural effusion,Nodule formation,Airspace opacity,Pulmonary embolism,Airspace opacity,RadImageNet,RadImageNet_3018,CT
OMNI_000078,Images/000078.png,What is the particular anomaly evident in this image?,Bladder infection,Pulmonary embolism,Splenic lesion,Gastric ulcer,Splenic lesion,RadImageNet,RadImageNet_13414,CT
OMNI_000080,Images/000080.png,What type of abnormality is present in this image?,Skin lesion,Intestinal lesion,Liver lesion,Kidney lesion,Liver lesion,RadImageNet,RadImageNet_8018,CT
OMNI_000081,Images/000081.png,What is the observed anomaly in the image?,Intestinal polyp,Bowel mass,Colon growth,Bowel bulge,Bowel mass,RadImageNet,RadImageNet_6529,CT
OMNI_000082,Images/000082.png,What is the abnormality present in the image?,Nodule formation,Airspace opacity,Pleural effusion,Lung consolidation,Airspace opacity,RadImageNet,RadImageNet_2992,CT
OMNI_000084,Images/000084.png,What condition is indicated by the anomaly seen in this image?,Influenza,COVID-19 infection.,Bronchitis,Pulmonary embolism,COVID-19 infection.,SARS-CoV-2 CT-scan,SARS-CoV-2 CT-scan_0439,CT
OMNI_000090,Images/000090.png,Is there any indication of irregularities in this image?,Yes.,No,,,No,RadImageNet,RadImageNet_9195,CT
OMNI_000091,Images/000091.png,Is anything abnormal detected in this image?,Yes.,No,,,No,RadImageNet,RadImageNet_10285,CT
OMNI_000094,Images/000094.png,Is there any anomaly or deviation observable in this picture?,No,Yes.,,,No,RadImageNet,RadImageNet_8246,CT
OMNI_000095,Images/000095.png,What is the specific type of cancer seen in the image?,Adenocarcinoma of the right upper lobe,Pulmonary embolism in the left lower lobe,Adenocarcinoma of the left lower lobe,Lymphoma of the mediastinum,Adenocarcinoma of the left lower lobe,Chest CT Scan,Chest CT Scan_0327,CT
OMNI_000096,Images/000096.png,Is anything noticeable in this image that suggests abnormality?,Yes.,No,,,No,RadImageNet,RadImageNet_8768,CT
OMNI_000097,Images/000097.png,Does this image reveal any abnormalities?,Yes.,No,,,No,RadImageNet,RadImageNet_8333,CT
OMNI_000100,Images/000100.png,Is there anything wrong detected in this image?,No,Yes.,,,No,RadImageNet,RadImageNet_9588,CT
OMNI_001001,Images/001001.png,What can be observed in this image?,Osseous neoplasm,Renal cyst,Cerebral hemorrhage,Meningitis,Osseous neoplasm,RadImageNet,RadImageNet_49622,MRI
OMNI_001002,Images/001002.png,What can be observed in this image?,Plantar plate tear.,Tarsal tunnel syndrome.,Metatarsal stress fracture.,Bunion formation.,Plantar plate tear.,RadImageNet,RadImageNet_28427,MRI
OMNI_001003,Images/001003.png,What imaging modality was used to capture this image?,Electroencephalogram (EEG),Endoscopy,MRI,X-ray,MRI,RadImageNet,RadImageNet_26714,MRI
OMNI_001005,Images/001005.png,What can be observed in this image?,Bone density loss,Ligament tear,Chondral abnormality,Joint inflammation,Chondral abnormality,RadImageNet,RadImageNet_34586,MRI
OMNI_001006,Images/001006.png,What can be observed in this image?,Muscular dystrophy,Tissue inflammation,Disc pathology,Nerve compression,Disc pathology,RadImageNet,RadImageNet_37054,MRI
OMNI_001007,Images/001007.png,What is the visible content in this image?,Bone fracture,Cyst formation,Tendon tear,Soft tissue fluid,Soft tissue fluid,RadImageNet,RadImageNet_53027,MRI
OMNI_001009,Images/001009.png,What can be observed in this image?,Muscle atrophy,Organ enlargement,Inflammation and swelling,White matter changes,White matter changes,RadImageNet,RadImageNet_56627,MRI
OMNI_001011,Images/001011.png,What type of imaging technique was applied to obtain this image?,MRI,X-ray,Echocardiogram,Bone scan,MRI,RadImageNet,RadImageNet_26869,MRI
OMNI_001012,Images/001012.png,What can be observed in this image?,Meniscal tear,Fracture,Synovial cyst formation,Chondral abnormality,Chondral abnormality,RadImageNet,RadImageNet_33236,MRI
OMNI_001013,Images/001013.png,What can be observed in this image?,Peroneal pathology,Plantar fasciitis,Lumbar disc herniation,Meniscal tear,Peroneal pathology,RadImageNet,RadImageNet_50233,MRI
OMNI_001016,Images/001016.png,What is the observation that can be made from examining this image?,Bursitis.,Joint swelling.,Nerve compression.,Bone inflammation.,Bone inflammation.,RadImageNet,RadImageNet_31952,MRI
OMNI_001017,Images/001017.png,What is the observable feature in this image?,Bone fracture,Irregular heartbeat,Inflammation in the stomach,Soft tissue mass,Soft tissue mass,RadImageNet,RadImageNet_55238,MRI
OMNI_001018,Images/001018.png,What can be observed in this image?,Bursitis,Labral pathology,Meniscal tear,Tendonitis,Labral pathology,RadImageNet,RadImageNet_41866,MRI
OMNI_001020,Images/001020.png,What condition is depicted in this image?,Carpal tunnel syndrome,Achilles pathology.,Arthritis,Tennis elbow,Achilles pathology.,RadImageNet,RadImageNet_28896,MRI
OMNI_001023,Images/001023.png,What is the observed pathological condition in this image?,Labral pathology,Meniscal tear,Nerve compression,Muscle strain,Labral pathology,RadImageNet,RadImageNet_41292,MRI
OMNI_001024,Images/001024.png,What can be observed in this image?,Meniscal abnormality,Arthritis,Bone fracture,Cartilage erosion,Meniscal abnormality,RadImageNet,RadImageNet_43439,MRI
OMNI_001026,Images/001026.png,What can be observed in this image?,Spinal subdural lesions,Ventricular subarachnoid anomalies,Dural epidural abn,Brain intrathecal disorders,Dural epidural abn,RadImageNet,RadImageNet_37895,MRI
OMNI_001031,Images/001031.png,What specific medical imaging technique was utilized to acquire this image?,Echocardiogram,X-ray,Mammography,MRI,MRI,RadImageNet,RadImageNet_27802,MRI
OMNI_001032,Images/001032.png,Is there any anomaly detected in the image?,"I can't say for sure, but it looks abnormal.",It's difficult to determine if there is an abnormality based on this image.,"No, It's normal.","I'm not sure, but there might be a slight abnormality.","No, It's normal.",RadImageNet,RadImageNet_46829,MRI
OMNI_001034,Images/001034.png,What can be observed in this image?,Cartilage degeneration,Bone density loss,Joint inflammation,Chondral abnormality,Chondral abnormality,RadImageNet,RadImageNet_33963,MRI
OMNI_001035,Images/001035.png,What is the condition that can be visualized in this image?,Joint inflammation,Muscle strain,Cartilage degeneration,Labral pathology,Labral pathology,RadImageNet,RadImageNet_41451,MRI
OMNI_001036,Images/001036.png,What type of diagnostic imaging technique produced this picture?,Mammography,MRI,CT scan,PET scan,MRI,RadImageNet,RadImageNet_25486,MRI
OMNI_001037,Images/001037.png,What type of imaging was employed for this image to be obtained?,Echocardiogram,MRI,Electroencephalogram (EEG),Endoscopy,MRI,RadImageNet,RadImageNet_25771,MRI
OMNI_001040,Images/001040.png,What can be observed in this image?,Tendon inflammation,Joint dislocation,Nerve compression,Atfl pathology.,Atfl pathology.,RadImageNet,RadImageNet_30370,MRI
OMNI_001042,Images/001042.png,What can be observed in this image?,Metastatic cancer,Acute inflammation,Hemorrhage,Chronic infarct,Chronic infarct,RadImageNet,RadImageNet_35950,MRI
OMNI_001043,Images/001043.png,What can be observed in this image?,Vascular malformation,Soft tissue edema,Muscle strain,Tumor growth,Soft tissue edema,RadImageNet,RadImageNet_52378,MRI
OMNI_001044,Images/001044.png,Is anything unusual observed in this image?,"I'm not sure, but there might be a slight abnormality.","No, It's normal.","I can't say for sure, but it looks abnormal.","Yes, it shows a significant abnormality.","No, It's normal.",RadImageNet,RadImageNet_47967,MRI
OMNI_001045,Images/001045.png,What is the observable anomaly depicted in this image?,Chondral abnormality,Meniscal tear,Joint inflammation,Nerve compression,Chondral abnormality,RadImageNet,RadImageNet_34459,MRI
OMNI_001046,Images/001046.png,What is the observed content in this image?,Muscular dystrophy,Soft tissue fluid,Tendon tear,Nerve inflammation,Soft tissue fluid,RadImageNet,RadImageNet_53908,MRI
OMNI_001047,Images/001047.png,What can be observed in this image?,Edema,Nerve inflammation,Joint dislocation,Soft tissue fluid collection,Soft tissue fluid collection,RadImageNet,RadImageNet_54621,MRI
OMNI_001049,Images/001049.png,What is the observed observation in this image?,Synovial cyst formation,Chondral abnormality,Muscular imbalance,Meniscal tear,Chondral abnormality,RadImageNet,RadImageNet_35158,MRI
OMNI_001050,Images/001050.png,What can be observed in this image?,Ligament tear,Tendonitis,Bone density loss,Chondral abnormality,Chondral abnormality,RadImageNet,RadImageNet_34154,MRI
OMNI_001052,Images/001052.png,What can be observed in this image?,Tendonitis,Cartilage degeneration,Chondral abnormality,Synovial cyst formation,Chondral abnormality,RadImageNet,RadImageNet_33809,MRI
OMNI_001056,Images/001056.png,Is there anything irregular in this image?,"I can't say for sure, but it looks abnormal.","No, It's normal.","There is a possibility of abnormality, but further tests are needed for confirmation.","I'm not sure, but there might be a slight abnormality.","No, It's normal.",RadImageNet,RadImageNet_47471,MRI
OMNI_001058,Images/001058.png,What is the pathology being observed in this image?,Baker's cyst,Medial collateral ligament (MCL) injury,Patella dislocation,PCL pathology,PCL pathology,RadImageNet,RadImageNet_50227,MRI
OMNI_001060,Images/001060.png,Is there any anomaly detected in this image?,It's difficult to determine if there is an abnormality based on this image.,"Yes, it shows a significant abnormality.","I can't say for sure, but it looks abnormal.","No, It's normal.","No, It's normal.",RadImageNet,RadImageNet_48039,MRI
OMNI_001063,Images/001063.png,What can be observed in this image?,White matter changes,Inflammation and swelling,Organ enlargement,Blood vessel abnormalities,White matter changes,RadImageNet,RadImageNet_56637,MRI
OMNI_001065,Images/001065.png,What can be observed in this image?,Alzheimer's disease.,Normal brain tissue.,Chronic infarct.,Acute infarct.,Acute infarct.,RadImageNet,RadImageNet_29738,MRI
OMNI_001066,Images/001066.png,What can be observed in this image?,Fluid-filled cyst,Soft tissue mass,Bone fracture,Inflammation in the stomach,Soft tissue mass,RadImageNet,RadImageNet_55333,MRI
OMNI_001068,Images/001068.png,What was the imaging technique utilized for capturing this image?,Angiography,Ultrasound,Bone scan,MRI,MRI,RadImageNet,RadImageNet_25297,MRI
OMNI_001070,Images/001070.png,Is this image showing any abnormality?,"No, It's normal.","Yes, it shows a significant abnormality.",It's difficult to determine if there is an abnormality based on this image.,"I can't say for sure, but it looks abnormal.","No, It's normal.",RadImageNet,RadImageNet_46015,MRI
OMNI_001072,Images/001072.png,What can be observed in this image?,Prognosis type of RadImageNet dataset.,post operation type of RadImageNet dataset.,Non-medical type of RadImageNet dataset.,Post-surgery type of RadImageNet dataset.,post operation type of RadImageNet dataset.,RadImageNet,RadImageNet_51296,MRI
OMNI_001073,Images/001073.png,What can be observed in this image?,Achilles pathology.,Tendonitis,Tennis elbow,Carpal tunnel syndrome,Achilles pathology.,RadImageNet,RadImageNet_28915,MRI
OMNI_001075,Images/001075.png,What can be observed in this image?,Enlarged lymph node,Cyst formation,Nerve inflammation,Soft tissue fluid,Soft tissue fluid,RadImageNet,RadImageNet_53473,MRI
OMNI_001077,Images/001077.png,What can be observed in this image?,Spinal misalignment.,Nerve compression.,Cartilage degeneration.,Bone inflammation.,Bone inflammation.,RadImageNet,RadImageNet_31003,MRI
OMNI_001078,Images/001078.png,What type of medical imaging was conducted to produce this image?,X-ray,MRI,Bone scan,Mammography,MRI,RadImageNet,RadImageNet_27803,MRI
OMNI_001079,Images/001079.png,What can be observed in this image?,Congenital abnormalities,Fractured bones,Cystic lesions,Tumor growths,Cystic lesions,RadImageNet,RadImageNet_36230,MRI
OMNI_001080,Images/001080.png,Is there a presence of any abnormalities in this image?,"I'm not sure, but there might be a slight abnormality.","There is a possibility of abnormality, but further tests are needed for confirmation.","I can't say for sure, but it looks abnormal.","No, It's normal.","No, It's normal.",RadImageNet,RadImageNet_46034,MRI
OMNI_001081,Images/001081.png,Does this image show any irregularities?,"I'm not sure, but there might be a slight abnormality.","No, It's normal.","I can't say for sure, but it looks abnormal.","Yes, it shows a significant abnormality.","No, It's normal.",RadImageNet,RadImageNet_46517,MRI
OMNI_001082,Images/001082.png,What can be observed in this image?,Gouty arthritis,Ankylosing spondylitis,Acromioclavicular joint osteoarthritis (ACJ OA).,Tennis elbow,Acromioclavicular joint osteoarthritis (ACJ OA).,RadImageNet,RadImageNet_29097,MRI
OMNI_001084,Images/001084.png,What is the observation of this image?,Cyst formation,Nerve inflammation,Abscess formation,Soft tissue fluid collection,Soft tissue fluid collection,RadImageNet,RadImageNet_54697,MRI
OMNI_001085,Images/001085.png,What type of medical imaging technique was utilized to acquire this particular image?,Echocardiogram,Electroencephalogram (EEG),MRI,Bone scan,MRI,RadImageNet,RadImageNet_27291,MRI
OMNI_001087,Images/001087.png,What can be observed in this image?,Sciatica,Achilles tendonitis,Shin splints,ACL pathology.,ACL pathology.,RadImageNet,RadImageNet_29632,MRI
OMNI_001088,Images/001088.png,What can be observed in this image?,Soft tissue swelling,Muscle strain,Joint inflammation,Meniscal abnormality,Meniscal abnormality,RadImageNet,RadImageNet_44732,MRI
OMNI_001090,Images/001090.png,What can be observed in this image?,Soft tissue mass,Irregular heartbeat,Enlarged lymph node,Inflammation in the stomach,Soft tissue mass,RadImageNet,RadImageNet_55449,MRI
OMNI_001092,Images/001092.png,What can be observed in this image?,Plantar fasciitis.,Tennis elbow.,Rotator cuff tear.,Biceps pathology.,Biceps pathology.,RadImageNet,RadImageNet_30624,MRI
OMNI_001094,Images/001094.png,Which imaging technique was employed for obtaining this image?,MRI,X-ray,Echocardiogram,Angiography,MRI,RadImageNet,RadImageNet_27356,MRI
OMNI_001095,Images/001095.png,Is there any anomaly visible in this image?,"There is a possibility of abnormality, but further tests are needed for confirmation.","No, It's normal.","I'm not sure, but there might be a slight abnormality.","I can't say for sure, but it looks abnormal.","No, It's normal.",RadImageNet,RadImageNet_47774,MRI
OMNI_001097,Images/001097.png,What specific type of imaging was utilized for capturing this image?,Angiography,PET scan,MRI,Ultrasound,MRI,RadImageNet,RadImageNet_24844,MRI
OMNI_001100,Images/001100.png,Which medical imaging technique was utilized to acquire this image?,Mammography,Electroencephalogram (EEG),MRI,Echocardiogram,MRI,RadImageNet,RadImageNet_26025,MRI
OMNI_002002,Images/002002.png,What is the medical condition identified in this image?,Viral_Pneumonia.,Pulmonary embolism,Sinusitis,Tuberculosis,Viral_Pneumonia.,Covid19 heywhale,Covid19 heywhale_0635,X-ray
OMNI_002003,Images/002003.png,From which joint does the bone in the image originate?,First Proximal Interphalangeal,Costovertebral Junction,Tibiofibular,Second Distal Interphalangeal,First Proximal Interphalangeal,RUS CHN,RUS CHN_1692,X-ray
OMNI_002004,Images/002004.png,What abnormality can be observed in this image?,Aberration missing,Abnormality present,Uniformity lacking,Standardity present,Abnormality present,Mura,Mura_1373,X-ray
OMNI_002006,Images/002006.png,From which joint does the depicted bone originate?,Costovertebral Junction,Ankle Bone,Metacarpophalangeal,Sternoclavicular Articulation,Metacarpophalangeal,RUS CHN,RUS CHN_0882,X-ray
OMNI_002007,Images/002007.jpg,What condition is indicated by this lung image?,Lung cancer,Chronic obstructive pulmonary disease (COPD),COVID-19,Bronchitis,COVID-19,Chest X-Ray PA,Chest X-Ray PA_0492,X-ray
OMNI_002008,Images/002008.png,What abnormality is present in this image?,COVID-19 negative,Lung cancer,Pleural effusion,Tuberculosis,COVID-19 negative,COVIDx CXR-4,COVIDx CXR-4_0209,X-ray
OMNI_002009,Images/002009.png,What imaging technique is employed to obtain this picture?,x_ray.,Magnetic Resonance Imaging (MRI),Thermographic imaging,Positron Emission Tomography (PET) scan,x_ray.,Knee Osteoarthritis,Knee Osteoarthritis_0361,X-ray
OMNI_002010,Images/002010.png,Is there any abnormality visible in this image?,No,Yes,,,No,Pulmonary Chest Shenzhen,Pulmonary Chest Shenzhen_0061,X-ray
OMNI_002013,Images/002013.jpeg,What content appears in this image?,Thymus,Lungs,Prostate (for males),Intestines,Lungs,CoronaHack,CoronaHack_0200,X-ray
OMNI_002014,Images/002014.png,What specific condition is affecting the lungs of the patient in this image?,Tuberculosis. Lungs will be affected.,Bronchitis. Lungs will be affected.,Asthma. Lungs will be affected.,COVID. Lungs will be affected.,COVID. Lungs will be affected.,Covid19 heywhale,Covid19 heywhale_0348,X-ray
OMNI_002015,Images/002015.png,From which joint does the bone in the image originate?,Cervical Spine,Glenohumeral,First Distal Interphalangeal,Sacroiliac,First Distal Interphalangeal,RUS CHN,RUS CHN_0653,X-ray
OMNI_002016,Images/002016.png,Which region of the body is depicted in this image?,Musculoskeletal system,Reproductive system,Digestive system,Respiratory system,Musculoskeletal system,Mura,Mura_0398,X-ray
OMNI_002017,Images/002017.jpeg,What is the content featured in this image?,Heart,Chest,Spine,Foot,Chest,OCT & X-Ray 2017,OCT & X-Ray 2017_0895,X-ray
OMNI_002019,Images/002019.png,From which joint does the bone in the image originate?,Pelvic Girdle,Elbow,Middle Interphalangeal,Knee,Middle Interphalangeal,RUS CHN,RUS CHN_1183,X-ray
OMNI_002020,Images/002020.png,What type of imaging was employed to produce this picture?,Ultrasound,Biopsy,Mammogram,X-ray,X-ray,Mura,Mura_0081,X-ray
OMNI_002023,Images/002023.png,Which joint does the bone in the picture come from?,Radius,Shoulder Blade,Pubic Symphysial Junction,Acromioclavicular,Radius,RUS CHN,RUS CHN_1824,X-ray
OMNI_002024,Images/002024.png,What content appears in this image?,Lung,Kidney,Bone,Muscle,Lung,Chest X-Ray PA,Chest X-Ray PA_0084,X-ray
OMNI_002025,Images/002025.png,"What condition does the person in the picture have, and which organ is primarily impacted?",Bronchitis. Lungs will be affected.,Eczema. Lungs will be affected.,COVID. Lungs will be affected.,Asthma. Lungs will be affected.,COVID. Lungs will be affected.,Covid19 heywhale,Covid19 heywhale_0361,X-ray
OMNI_002028,Images/002028.png,What is the diagnosis for the patient in this image?,It's Irregular,It's NORMAL.,It's Positive,It's Unspecified,It's NORMAL.,Covid19 heywhale,Covid19 heywhale_0376,X-ray
OMNI_002029,Images/002029.png,What abnormality can be observed in this image?,Abnormal growth of cells,Enlarged lymph nodes,Decreased lung capacity,No abnormality detected,No abnormality detected,Mura,Mura_0908,X-ray
OMNI_002030,Images/002030.png,What is the diagnosis for the patient in this image?,It's Indeterminate,It's Anomalous,It's NORMAL.,It's Suspicious,It's NORMAL.,Covid19 heywhale,Covid19 heywhale_0463,X-ray
OMNI_002032,Images/002032.png,What abnormality is present in this image?,Sarcoidosis,Pneumonia,COVID-19 negative,Lung cancer,COVID-19 negative,COVIDx CXR-4,COVIDx CXR-4_0199,X-ray
OMNI_002035,Images/002035.jpg,What does this image depict?,Liver,Lung,Stomach,Bone,Lung,Chest X-Ray PA,Chest X-Ray PA_0247,X-ray
OMNI_002036,Images/002036.png,What abnormality can be observed in this image?,Swollen joints,Bacterial infection,Congested blood vessels,No abnormality detected,No abnormality detected,Mura,Mura_0709,X-ray
OMNI_002038,Images/002038.png,What content appears in this image?,Lung,Intestine,Bladder,Liver,Lung,Covid19 heywhale,Covid19 heywhale_0161,X-ray
OMNI_002039,Images/002039.png,Which region of the body does this image depict?,Chest,Hand,Abdomen,Groin,Chest,COVIDx CXR-4,COVIDx CXR-4_0113,X-ray
OMNI_002040,Images/002040.png,What observation can be made regarding the image in terms of abnormality?,Decreased lung capacity,Abnormal growth of cells,No abnormality detected,Enlarged lymph nodes,No abnormality detected,Mura,Mura_0819,X-ray
OMNI_002041,Images/002041.png,What is the origin of the bone depicted in the picture?,Cervical Spine,Acromioclavicular,Middle Interphalangeal,Sacrococcygeal Articulation,Middle Interphalangeal,RUS CHN,RUS CHN_1185,X-ray
OMNI_002042,Images/002042.png,Which region of the body is depicted in this image?,Urinary system,Musculoskeletal system,Lymphatic system,Cardiovascular system,Musculoskeletal system,Mura,Mura_0660,X-ray
OMNI_002043,Images/002043.png,What part of the anatomy is depicted in this picture?,Head,Neck,Chest,Pelvis,Chest,COVIDx CXR-4,COVIDx CXR-4_0176,X-ray
