query_id,image,Question,Option_A,Option_B,Option_C,Option_D,answer,source_dataset,original_question_id,modality
OMNI_002023,Images/002023.png,Which joint does the bone in the picture come from?,Radius,Shoulder Blade,Pubic Symphysial Junction,Acromioclavicular,Radius,RUS CHN,RUS CHN_1824,X-ray
OMNI_002024,Images/002024.png,What content appears in this image?,Lung,Kidney,Bone,Muscle,Lung,Chest X-Ray PA,Chest X-Ray PA_0084,X-ray
OMNI_002025,Images/002025.png,"What condition does the person in the picture have, and which organ is primarily impacted?",Bronchitis. Lungs will be affected.,Eczema. Lungs will be affected.,COVID. Lungs will be affected.,Asthma. Lungs will be affected.,COVID. Lungs will be affected.,Covid19 heywhale,Covid19 heywhale_0361,X-ray
OMNI_002028,Images/002028.png,What is the diagnosis for the patient in this image?,It's Irregular,It's NORMAL.,It's Positive,It's Unspecified,It's NORMAL.,Covid19 heywhale,Covid19 heywhale_0376,X-ray
OMNI_002029,Images/002029.png,What abnormality can be observed in this image?,Abnormal growth of cells,Enlarged lymph nodes,Decreased lung capacity,No abnormality detected,No abnormality detected,Mura,Mura_0908,X-ray
OMNI_002030,Images/002030.png,What is the diagnosis for the patient in this image?,It's Indeterminate,It's Anomalous,It's NORMAL.,It's Suspicious,It's NORMAL.,Covid19 heywhale,Covid19 heywhale_0463,X-ray
OMNI_002032,Images/002032.png,What abnormality is present in this image?,Sarcoidosis,Pneumonia,COVID-19 negative,Lung cancer,COVID-19 negative,COVIDx CXR-4,COVIDx CXR-4_0199,X-ray
OMNI_002035,Images/002035.jpg,What does this image depict?,Liver,Lung,Stomach,Bone,Lung,Chest X-Ray PA,Chest X-Ray PA_0247,X-ray
OMNI_002036,Images/002036.png,What abnormality can be observed in this image?,Swollen joints,Bacterial infection,Congested blood vessels,No abnormality detected,No abnormality detected,Mura,Mura_0709,X-ray
OMNI_002038,Images/002038.png,What content appears in this image?,Lung,Intestine,Bladder,Liver,Lung,Covid19 heywhale,Covid19 heywhale_0161,X-ray
OMNI_002039,Images/002039.png,Which region of the body does this image depict?,Chest,Hand,Abdomen,Groin,Chest,COVIDx CXR-4,COVIDx CXR-4_0113,X-ray
OMNI_002040,Images/002040.png,What observation can be made regarding the image in terms of abnormality?,Decreased lung capacity,Abnormal growth of cells,No abnormality detected,Enlarged lymph nodes,No abnormality detected,Mura,Mura_0819,X-ray
OMNI_002041,Images/002041.png,What is the origin of the bone depicted in the picture?,Cervical Spine,Acromioclavicular,Middle Interphalangeal,Sacrococcygeal Articulation,Middle Interphalangeal,RUS CHN,RUS CHN_1185,X-ray
OMNI_002042,Images/002042.png,Which region of the body is depicted in this image?,Urinary system,Musculoskeletal system,Lymphatic system,Cardiovascular system,Musculoskeletal system,Mura,Mura_0660,X-ray
OMNI_002043,Images/002043.png,What part of the anatomy is depicted in this picture?,Head,Neck,Chest,Pelvis,Chest,COVIDx CXR-4,COVIDx CXR-4_0176,X-ray
OMNI_002046,Images/002046.png,What is the condition that the patient in this image is diagnosed with? Which organ will be impacted by the condition?,Eczema. Lungs will be affected.,COVID. Lungs will be affected.,Bronchitis. Lungs will be affected.,Pneumonia. Lungs will be affected.,COVID. Lungs will be affected.,Covid19 heywhale,Covid19 heywhale_0349,X-ray
OMNI_002047,Images/002047.png,Which joint does the bone in the picture come from?,Proximal Radioulnar,Distal Interphalangeal,Pubic Symphysial Junction,Radius,Radius,RUS CHN,RUS CHN_1812,X-ray
OMNI_002051,Images/002051.jpg,What is the specific condition identified in this picture of a lung?,Tuberculosis,Acute respiratory distress syndrome (ARDS),COVID-19,Chronic obstructive pulmonary disease (COPD),COVID-19,Chest X-Ray PA,Chest X-Ray PA_0444,X-ray
OMNI_002052,Images/002052.png,Is there any abnormality detected in this image?,Congested blood vessels,Inflammation in the lungs,No abnormality detected,Decreased lung capacity,No abnormality detected,Mura,Mura_0829,X-ray
OMNI_002053,Images/002053.png,From which joint does the bone in the image originate?,First Proximal Interphalangeal,Pelvic Girdle,Temporomandibular Junction,Metatarsophalangeal,First Proximal Interphalangeal,RUS CHN,RUS CHN_1695,X-ray
OMNI_002054,Images/002054.png,What imaging technique is utilized to obtain this picture?,x_ray.,Echocardiogram,Thermography,Myelogram,x_ray.,Knee Osteoarthritis,Knee Osteoarthritis_0330,X-ray
OMNI_002057,Images/002057.png,From which joint does the bone in the image originate?,Sacroiliac Articulation,First Proximal Interphalangeal,Metacarpophalangeal,Proximal Radioulnar,Metacarpophalangeal,RUS CHN,RUS CHN_0786,X-ray
OMNI_002058,Images/002058.jpeg,What is the specific condition illustrated in this image of a lung?,Tuberculosis,Asthma,Pneumonia,Pleurisy,Pneumonia,Chest X-Ray PA,Chest X-Ray PA_0701,X-ray
OMNI_002060,Images/002060.png,From which joint does the bone in the image originate?,Distal Interphalangeal,Glenohumeral,Hip Bone,Temporomandibular Junction,Distal Interphalangeal,RUS CHN,RUS CHN_0490,X-ray
OMNI_002061,Images/002061.png,From which joint did the depicted bone originate?,Radius,First Metacarpophalangeal,Knee,Shoulder Blade,Radius,RUS CHN,RUS CHN_1798,X-ray
OMNI_002062,Images/002062.jpg,What content appears in this image?,Lung,Liver,Skin,Bone,Lung,Chest X-Ray PA,Chest X-Ray PA_0284,X-ray
OMNI_002064,Images/002064.png,What abnormality can be observed in this image?,Decreased lung capacity,Congested blood vessels,No abnormality detected,Enlarged lymph nodes,No abnormality detected,Mura,Mura_1074,X-ray
OMNI_002066,Images/002066.png,What is the condition that is being depicted in this lung X-ray image?,Pulmonary embolism,manifestation of tuberculosis,Pulmonary fibrosis,Chronic obstructive pulmonary disease (COPD) exacerbation,manifestation of tuberculosis,Pulmonary Chest MC,Pulmonary Chest MC_0033,X-ray
OMNI_002070,Images/002070.png,From which joint does the bone in the image originate?,Pubic Symphysis,Cuneonavicular Articulation,Proximal Interphalangeal,Acromioclavicular,Proximal Interphalangeal,RUS CHN,RUS CHN_1366,X-ray
OMNI_002071,Images/002071.png,From which joint does the bone in the image originate?,Middle Interphalangeal,Sacrococcygeal Articulation,Atlantoaxial,Ankle Bone,Middle Interphalangeal,RUS CHN,RUS CHN_1130,X-ray
OMNI_002073,Images/002073.png,What content appears in this image?,Lung,Heart,Stomach,Kidney,Lung,Covid19 heywhale,Covid19 heywhale_0107,X-ray
OMNI_002074,Images/002074.jpeg,In what imaging modality was this image captured?,X-ray,MRI,PET scan,Ultrasound,X-ray,OCT & X-Ray 2017,OCT & X-Ray 2017_0667,X-ray
OMNI_002075,Images/002075.jpeg,What is the specific condition indicated in this image of a lung?,Pneumonia,Tuberculosis,Lung cancer,Pulmonary embolism,Pneumonia,Chest X-Ray PA,Chest X-Ray PA_0792,X-ray
OMNI_002076,Images/002076.jpg,What specific condition can be identified from this image of a lung?,Acute respiratory distress syndrome (ARDS),COVID-19,Emphysema,Pneumonia,COVID-19,Chest X-Ray PA,Chest X-Ray PA_0377,X-ray
OMNI_002080,Images/002080.jpeg,Is this image showing any anomalies or abnormalities?,"No, this is a normal chest X-ray image.","Yes, there are multiple fractures visible in the ribs on this image.","Yes, there is a tumor seen in the mediastinum on this image.","No, this image suggests the presence of emphysema.","No, this is a normal chest X-ray image.",OCT & X-Ray 2017,OCT & X-Ray 2017_1081,X-ray
OMNI_002082,Images/002082.png,What type of imaging technique was employed to produce this picture?,X-ray,Biopsy,Mammogram,Electrocardiogram (ECG),X-ray,Mura,Mura_0027,X-ray
OMNI_002083,Images/002083.png,What abnormality can be observed in this image?,Aberration missing,Abnormality present,Normality absent,Conformity evident,Abnormality present,Mura,Mura_1327,X-ray
OMNI_002084,Images/002084.jpeg,Does the image show any irregularities?,"Yes, there are multiple fractures visible in the ribs on this image.","Yes, there is pneumonia evident in the lower lobe of the right lung on this image.","Yes, there is a large mass visible in the lungs on this image.","No, this is a normal chest X-ray image.","No, this is a normal chest X-ray image.",OCT & X-Ray 2017,OCT & X-Ray 2017_0969,X-ray
OMNI_002088,Images/002088.jpeg,What do you see depicted in this photo?,Brain,Thyroid gland,Lungs,Kidneys,Lungs,CoronaHack,CoronaHack_0337,X-ray
OMNI_002092,Images/002092.png,What part of the human anatomy does this image show?,Respiratory system,Nervous system,Musculoskeletal system,Integumentary system,Musculoskeletal system,Mura,Mura_0544,X-ray
OMNI_002093,Images/002093.png,What abnormality can be observed in this image?,Decreased lung capacity,Blocked artery,No abnormality detected,Abnormal growth of cells,No abnormality detected,Mura,Mura_1019,X-ray
OMNI_002094,Images/002094.png,From which joint is the bone depicted derived?,Proximal Radioulnar,Radius,Tibiofibular,First Proximal Interphalangeal,Radius,RUS CHN,RUS CHN_1803,X-ray
OMNI_002097,Images/002097.png,Can any abnormality be found in this image?,No abnormality detected,Congested blood vessels,Blocked artery,Tumor growth,No abnormality detected,Mura,Mura_1028,X-ray
OMNI_002098,Images/002098.jpeg,What is the specific condition depicted in this picture of the lung?,Pneumonia,Sarcoidosis,Bronchitis,Bronchiolitis,Pneumonia,Chest X-Ray PA,Chest X-Ray PA_0823,X-ray
OMNI_002100,Images/002100.png,From which joint does the bone in the image originate?,Metatarsophalangeal,Cervical Spine,Proximal Interphalangeal,Tibiofibular,Proximal Interphalangeal,RUS CHN,RUS CHN_1415,X-ray
